Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
01-01-2015,2015,1,1,‡,-3,,-7.6,,-5.3,,23.3,,0,,0,,1.8,,1.8,,0,,22,,63,
02-01-2015,2015,1,2,‡,-3.4,,-14.2,,-8.8,,26.8,,0,,0,,0,T,0,T,1,,27,,50,
03-01-2015,2015,1,3,‡,-8.5,,-17.7,,-13.1,,31.1,,0,,0,,17,,17,,1,,3,,41,
04-01-2015,2015,1,4,‡,3,,-8.6,,-2.8,,20.8,,0,,26.8,,0.4,,27.2,,8,,26,,69,
05-01-2015,2015,1,5,‡,-5.3,,-17.9,,-11.6,,29.6,,0,,0,,0,T,0,T,6,,27,,74,
06-01-2015,2015,1,6,‡,-8.6,,-19.1,,-13.9,,31.9,,0,,0,,2.2,,2.2,,6,,22,,32,
07-01-2015,2015,1,7,‡,-9,,-26.4,,-17.7,,35.7,,0,,0,,3.8,,3.8,,8,,29,,48,
08-01-2015,2015,1,8,‡,-7.4,,-27.5,,-17.5,,35.5,,0,,0,,2.2,,2.2,,10,,18,,50,
09-01-2015,2015,1,9,‡,-6.1,,-14.6,,-10.4,,28.4,,0,,0,,2.6,,2.6,,12,,22,,57,
10-01-2015,2015,1,10,‡,-9,,-13.4,,-11.2,,29.2,,0,,0,,0.4,,0.4,,7,,22,,50,
11-01-2015,2015,1,11,‡,-4.2,,-12.2,,-8.2,,26.2,,0,,0,,0,T,0,T,7,,23,,37,
12-01-2015,2015,1,12,‡,-1.9,,-16.9,,-9.4,,27.4,,0,,0,,4.2,,4.2,,7,,34,,41,
13-01-2015,2015,1,13,‡,-17,,-23.1,,-20.1,,38.1,,0,,0,,0,,0,,10,,,,<31,
14-01-2015,2015,1,14,‡,-14.4,,-23.3,,-18.9,,36.9,,0,,0,,0,T,0,T,10,,,,<31,
15-01-2015,2015,1,15,‡,-4.7,,-20.8,,-12.8,,30.8,,0,,0,,0.8,,0.8,,10,,19,,35,
16-01-2015,2015,1,16,‡,-2.4,,-20.2,,-11.3,,29.3,,0,,0,,1.4,,1.4,,11,,28,,61,
17-01-2015,2015,1,17,‡,-14.9,,-23.9,,-19.4,,37.4,,0,,0,,0,,0,,11,,4,,32,
18-01-2015,2015,1,18,‡,2.7,,-15.2,,-6.3,,24.3,,0,,0,,4.4,,5,,11,,14,,41,
19-01-2015,2015,1,19,‡,1.4,,-13.6,,-6.1,,24.1,,0,,0,,1,,1,,11,,26,,50,
20-01-2015,2015,1,20,‡,-13.7,,-18.3,,-16,,34,,0,,0,,0,,0,,11,,26,,44,
21-01-2015,2015,1,21,‡,-10.6,,-20.8,,-15.7,,33.7,,0,,0,,0,,0,,11,,,,<31,
22-01-2015,2015,1,22,‡,-9.3,,-18.1,,-13.7,,31.7,,0,,0,,0,,0,,11,,,,<31,
23-01-2015,2015,1,23,‡,-0.2,,-12.3,,-6.3,,24.3,,0,,0,,0,T,0,T,10,,22,,56,
24-01-2015,2015,1,24,‡,-0.7,,-2.9,,-1.8,,19.8,,0,,0,,0.4,,0.4,,10,,22,,39,
25-01-2015,2015,1,25,‡,-1.6,,-17.8,,-9.7,,27.7,,0,,0,,0,T,0,T,10,,30,,52,
26-01-2015,2015,1,26,‡,-14.5,,-21.6,,-18.1,,36.1,,0,,0,,0,,0,,10,,2,,48,
27-01-2015,2015,1,27,‡,-9.6,,-16.2,,-12.9,,30.9,,0,,,M,,M,,M,10,,,,<31,
28-01-2015,2015,1,28,‡,-8.6,,-15.2,,-11.9,,29.9,,0,,0,,0,T,0,T,10,,,,<31,
29-01-2015,2015,1,29,‡,-0.2,,-16.2,,-8.2,,26.2,,0,,0,,3.4,,3.4,,10,,13,,46,
30-01-2015,2015,1,30,‡,-2.1,,-18.6,,-10.4,,28.4,,0,,0,,4.8,,4.8,,13,,28,,39,
31-01-2015,2015,1,31,‡,-14.7,,-22.8,,-18.8,,36.8,,0,,0,,0,T,0,T,14,,26,,41,
01-02-2015,2015,2,1,‡,-14.2,,-20.2,,-17.2,,35.2,,0,,0,,0,T,0,T,14,,5,,35,
02-02-2015,2015,2,2,‡,-17.3,,-22.5,,-19.9,,37.9,,0,,0,,6.8,,6.8,,14,,3,,56,
03-02-2015,2015,2,3,‡,-8.5,,-24.4,,-16.5,,34.5,,0,,0,,0.6,,0.6,,12,,,,<31,
04-02-2015,2015,2,4,‡,-3.7,,-9.5,,-6.6,,24.6,,0,,,M,7,,6.4,,13,,,,<31,
05-02-2015,2015,2,5,‡,-7.1,,-22.2,,-14.7,,32.7,,0,,0,,0.2,,0.2,,17,,27,,32,
06-02-2015,2015,2,6,‡,-9.9,,-24.3,,-17.1,,35.1,,0,,0,,2.4,,2.4,,17,,,,<31,
07-02-2015,2015,2,7,‡,-12.5,,-17.8,,-15.2,,33.2,,0,,0,,0.2,,0.2,,18,,4,,33,
08-02-2015,2015,2,8,‡,-13.9,,-18.5,,-16.2,,34.2,,0,,0,,8.6,,8.6,,18,,4,,65,
09-02-2015,2015,2,9,‡,-11.7,,-15.6,,-13.7,,31.7,,0,,0,,0.4,,0.4,,16,,3,,59,
10-02-2015,2015,2,10,‡,-7.1,,-14.8,,-11,,29,,0,,0,,0.2,,0.2,,18,,2,,32,
11-02-2015,2015,2,11,‡,-11.1,,-17.4,,-14.3,,32.3,,0,,0,,2.2,,2.2,,18,,3,,33,
12-02-2015,2015,2,12,‡,-7.4,,-18.1,,-12.8,,30.8,,0,,0,,5,,5,,22,,28,,43,
13-02-2015,2015,2,13,‡,-18,,-23.7,,-20.9,,38.9,,0,,0,,0,T,0,T,23,,26,,43,
14-02-2015,2015,2,14,‡,-13.9,,-20.8,,-17.4,,35.4,,0,,0,,1.2,,1.2,,23,,2,,50,
15-02-2015,2015,2,15,‡,-13.9,,-21.9,,-17.9,,35.9,,0,,0,,0,T,0,T,19,,1,,57,
16-02-2015,2015,2,16,‡,-16.3,,-24.1,,-20.2,,38.2,,0,,0,,0,,0,,19,,23,,50,
17-02-2015,2015,2,17,‡,-13,,-24.2,,-18.6,,36.6,,0,,0,,0,,0,,18,,,,<31,
18-02-2015,2015,2,18,‡,-7,,-21.6,,-14.3,,32.3,,0,,0,,0.2,,0.2,,18,,,,<31,
19-02-2015,2015,2,19,‡,-8,,-18.5,,-13.3,,31.3,,0,,0,,6,,6,,19,,25,,57,
20-02-2015,2015,2,20,‡,-14.6,,-19.6,,-17.1,,35.1,,0,,0,,1.6,,1.6,,16,,23,,59,
21-02-2015,2015,2,21,‡,-7.6,,-17.5,,-12.6,,30.6,,0,,0,,4,,4,,15,,,,<31,
22-02-2015,2015,2,22,‡,-3.6,,-11.6,,-7.6,,25.6,,0,,,M,1.2,,1.2,,19,,28,,50,
23-02-2015,2015,2,23,‡,-11.1,,-24.6,,-17.9,,35.9,,0,,0,,0,,0,,18,,23,,50,
24-02-2015,2015,2,24,‡,-8.7,,-25.4,,-17.1,,35.1,,0,,0,,0,,0,,16,,13,,41,
25-02-2015,2015,2,25,‡,-4.6,,-17.6,,-11.1,,29.1,,0,,0,,0.8,,0.6,,16,,,,<31,
26-02-2015,2015,2,26,‡,-12.7,,-21.5,,-17.1,,35.1,,0,,0,,0,,0,,16,,,,<31,
27-02-2015,2015,2,27,‡,-9.5,,-21.8,,-15.7,,33.7,,0,,0,,0,,0,,16,,24,,46,
28-02-2015,2015,2,28,‡,-5.5,,-17,,-11.3,,29.3,,0,,0,,0,,0,,15,,23,,44,
01-03-2015,2015,3,1,‡,-3.4,,-17.3,,-10.4,,28.4,,0,,0,,0.2,,0.2,,14,,,,<31,
02-03-2015,2015,3,2,‡,-2.4,,-11.9,,-7.2,,25.2,,0,,0,,1,,1,,14,,26,,67,
03-03-2015,2015,3,3,‡,-3.7,,-19.1,,-11.4,,29.4,,0,,0,,6,,6,,15,,15,,43,
04-03-2015,2015,3,4,‡,1.9,,-5.8,,-2,,20,,0,,0,,0,T,0,T,18,,24,,61,
05-03-2015,2015,3,5,‡,-5.8,,-18.6,,-12.2,,30.2,,0,,0,,0.6,,0.4,,17,,31,,41,
06-03-2015,2015,3,6,‡,-6.9,,-20.6,,-13.8,,31.8,,0,,0,,0,,0,,17,,23,,50,
07-03-2015,2015,3,7,‡,-2.3,,-13.3,,-7.8,,25.8,,0,,0,,0.4,,0.4,,16,,23,,41,
08-03-2015,2015,3,8,‡,-0.3,,-6.4,,-3.4,,21.4,,0,,0,,0.8,,0.8,,17,,27,,37,
09-03-2015,2015,3,9,‡,2.5,,-3.5,,-0.5,,18.5,,0,,0,,1.8,,1.8,,19,,22,,52,
10-03-2015,2015,3,10,‡,7.8,,-4.1,,1.9,,16.1,,0,,0,,0,,0,,19,,20,,33,
